PFCNTR,DMA_CODE,DMA_DESC,OPEN_BRANDS_DESC,OPERTNL_STAT_CODE,LEGAL_ENTITY_NAME,CITY_NAME,STATE_CODE,CNTY_NAME,ZIP_CODE,CNTRY,Latitude,Longitude
353722,566,"Lancaster/Harrisburg/York, PA",DD,Open,"KPV Lititz Pike, LLC",Lancaster,PA,Lancaster,17601,USA,40.057916,-76.306152
353723,501,"Metro, NY",DD,Open,EMMYS DONUT CORP.,Brooklyn,NY,Kings,11237,USA,40.704423,-73.928809
353725,573,"Roanoke, VA",BR/DD,Open,"Sodexo Operations, LLC",Lynchburg,VA,Lynchburg,24502,USA,37.348207,-79.181949
353729,669,"Madison, WI",DD,Open,"Tmart Operations I, LLC",Monroe,WI,Green,53566,USA,42.603799,-89.652616
353736,100,TFA,BR,Open,"R.P.R. Enterprises, Inc.",Kansas City,MO,Jackson,64113,USA,39.013727,-94.589753
353740,521,"Providence, RI",DD,Open,"1592 MSA DONUTS, LLC",North Providence,RI,Providence,2904,USA,41.864057,-71.449011
353741,517,"Charlotte, NC",DD,Permanent Close,"NCDONUT-DAVIDSON, LLC",Davidson,NC,Mecklenburg,28036,USA,35.502511,-80.86162
353742,517,"Charlotte, NC",BR/DD,Open,"NCDonut-Antiquity, LLC",Cornelius,NC,Mecklenburg,28031,USA,35.480873,-80.857271
353745,534,"Orlando/Daytona/Melbourne, FL",DD,Open,"SSRM7, LLC",Oviedo,FL,Seminole,32765,USA,28.655839,-81.240093
353746,501,"Metro, NY",DD,Open,Metro Franchising Commissary LLC,Bayside,NY,Queens,11360,USA,40.778491,-73.77675
353748,547,"Toledo, OH",,Permanent Close,"Compass Group USA, Inc.",Bowling Green,OH,Wood,43403,USA,41.377792,-83.635554
353750,539,"Tampa/St. Pete/Sarasota, FL",DD,Open,"MR60 DONUTS, INC.",Valrico,FL,Hillsborough,33594,USA,27.937314,-82.227561
353751,524,"Atlanta, GA",DD,Open,"Jones-Stark Properties, LLC",Covington,GA,Newton,30014,USA,33.614587,-83.919806
353752,678,"Wichita, KS",DD,Open,"NewDays, LLC",Wichita,KS,Sedgwick,67213,USA,37.678513,-97.389991
353754,803,"Los Angeles, CA",DD,Open,"MADISON FOOD MANAGEMENT, LLC",Encino,CA,Los Angeles,91316,USA,34.160017,-118.500837
353755,618,"Houston, TX",DD/BR,Permanent Close,"Yes Partners, LLC",Houston,TX,Harris,77084,USA,29.857155,-95.64528
353762,100,TFA,BR,Open,"J & R INTERNATIONAL XIII, LLC",Brandon,MS,Rankin,39047,USA,32.366146,-89.968214
353763,532,"Albany-Schenectady-Troy, NY",DD,Open,COLONIE CENTER DONUTS INC.,Albany,NY,Albany,12205,USA,42.709501,-73.817847
353764,501,"Metro, NY",DD,Not Yet Open,"BELLPORT DONUT GROUP, INC.",Bellport,NY,SUFFOLK,11713,USA,40.774271,-72.943145
353765,536,"Youngstown, OH",DD,Open,"Youngstown C+1, LLC",Lisbon,OH,Columbiana,44432,USA,40.784214,-80.773293
353768,501,"Metro, NY",DD,Open,Anjudonuts of Garfield Limited Liability Company,Garfield,NJ,Bergen,7026,USA,40.885097,-74.127188
353769,501,"Metro, NY",DD,Open,"No Loose Ends, LLC",Succasunna,NJ,Morris,7876,USA,40.862816,-74.63366
353771,501,"Metro, NY",DD,Open,Lakehurst Donuts LLC,Lakehurst,NJ,Ocean,8733,USA,40.014481,-74.312257
353772,622,"New Orleans, LA",DD,Open,BBC Foods LLC,Covington,LA,Saint Tammany,70433,USA,30.446342,-90.082661
353779,501,"Metro, NY",BR/DD,Open,Metro Franchising Commissary LLC,Forest Hills,NY,Queens,11375,USA,40.71827,-73.840525
353780,559,"Beckley, WV",DD,Open,"Profit Concepts, Inc.",Beckley,WV,Raleigh,25801,USA,37.791231,-81.215749
353781,533,"Hartford-New Haven, CT",DD,Open,"Eastdun, LLC",East Haven,CT,New Haven,6512,USA,41.28626,-72.881159
353782,577,"Wilkes Barre-Scranton, PA",DD,Open,Cope Enterprises LLC,Plains,PA,Luzerne,18705,USA,41.272407,-75.86007
353783,751,"Denver, CO",DD,Permanent Close,"Sizzling Donuts, LLC",Broomfield,CO,Broomfield,80020,USA,39.914906,-105.049041
353784,751,"Denver, CO",DD,Open,"Sizzling Donuts, LLC",Longmont,CO,Boulder,80501,USA,40.152956,-105.096112
353785,790,"Albuquerque, NM",BR,Open,"Sernas Scoopers, LLC",Rio Rancho,NM,Sandoval,87124,USA,35.24217,-106.688762
353789,501,"Metro, NY",DD,Open,DECK GATEWAY - 590 LLC,Brooklyn,NY,Kings,11239,USA,40.654,-73.869
353790,636,"Mcallen, TX",DD,Open,"Sizzling Donuts, LLC",Pharr,TX,Hidalgo,78577,USA,26.189123,-98.205453
353792,641,"San Antontio, TX",DD,Open,"Mesquite Country Business Venture, LLC",San Antonio,TX,Bexar,78238,USA,29.507241,-98.62937
353793,534,"Orlando/Daytona/Melbourne, FL",DD,Open,"International Coffee and Donuts, LLC",Orlando,FL,Orange,32821,USA,28.39311,-81.465884
353794,528,"Miami-FT. Lauderdale, FL",DD,Permanent Close,"SOUTHEAST ENTERPRISE HOLDINGS, LLC",Pembroke Pines,FL,Broward,33024,USA,26.009587,-80.248762
353795,618,"Houston, TX",DD,Open,"CYPRESS DONUTS, LLC",Tomball,TX,Harris,77377,USA,30.01266,-95.598994
353796,618,"Houston, TX",BR/DD,Open,"BINGLE, LLC",Houston,TX,Harris,77092,USA,29.839438,-95.489072
353797,548,"W. Palm Bch/Ft. Pierce, FL",DD,Open,PMA OKEECHOBEE LLC,Okeechobee,FL,Okeechobee,34972,USA,27.244006,-80.828314
